Date,BIT,LTC,ETH,DASH
2015/11/4,0.0989,0.0391,0.00125,0.0265
2015/11/5,0.075,0.0341,0.00132,0.0205
2015/11/6,0.0721,0.0165,0.00182,0.0227
2015/11/7,0.0654,0.0135,0.00266,0.0264
2015/11/8,0.0677,0.0164,0.00227,0.0233
2015/11/9,0.0695,0.014,0.00151,0.0256
2015/11/10,0.066,0.0269,0.00185,0.0225
2015/11/11,0.0556,0.0217,0.00191,0.0207
2015/11/12,0.0535,0.0186,0.00231,0.0203
2015/11/13,0.0553,0.0378,0.00163,0.0174
2015/11/14,0.0543,0.0308,0.00229,0.0178
2015/11/15,0.0527,0.018,0.00145,0.0175
2015/11/16,0.0566,0.0275,0.00126,0.0184
2015/11/17,0.0562,0.0275,0.00128,0.0164
2015/11/18,0.0553,0.0347,0.00137,0.0152
2015/11/19,0.0552,0.0245,0.00175,0.0197
2015/11/20,0.0529,0.0234,0.00175,0.0178
2015/11/21,0.0513,0.0229,0.00156,0.021
2015/11/22,0.0583,0.0176,0.00154,0.0149
2015/11/23,0.0571,0.0287,0.00154,0.0196
2015/11/24,0.0529,0.0307,0.0017,0.019
2015/11/25,0.0563,0.026,0.00154,0.0157
2015/11/26,0.0582,0.0133,0.00111,0.0199
2015/11/27,0.0593,0.0161,0.00124,0.018
2015/11/28,0.0568,0.0101,0.00192,0.016
2015/11/29,0.0616,0.0147,0.00118,0.0172
2015/11/30,0.0707,0.02,0.00202,0.0145
2015/12/1,0.0645,0.0268,0.00168,0.0163
2015/12/2,0.063,0.035,0.00149,0.0213
2015/12/3,0.0653,0.0424,0.00124,0.0246
2015/12/4,0.0595,0.0336,0.00147,0.0159
2015/12/5,0.0626,0.0342,0.00163,0.019
2015/12/6,0.0666,0.0395,0.00161,0.0194
2015/12/7,0.0675,0.0142,0.00109,0.0179
2015/12/8,0.0665,0.0277,0.00109,0.0193
2015/12/9,0.0708,0.0291,0.00115,0.0233
2015/12/10,0.0704,0.0281,0.00124,0.0212
2015/12/11,0.089,0.0252,0.00178,0.0239
2015/12/12,0.0783,0.0521,0.00272,0.0256
2015/12/13,0.0764,0.0382,0.00245,0.0239
2015/12/14,0.0774,0.0435,0.00475,0.0351
2015/12/15,0.0816,0.0544,0.00549,0.0324
2015/12/16,0.0775,0.0649,0.0043,0.0267
2015/12/17,0.0793,0.0593,0.00326,0.0305
2015/12/18,0.0812,0.0845,0.00332,0.0266
2015/12/19,0.0763,0.0602,0.00279,0.0225
2015/12/20,0.0785,0.0663,0.00321,0.0258
2015/12/21,0.0784,0.156,0.00294,0.0237
2015/12/22,0.0772,0.0912,0.00254,0.0258
2015/12/23,0.0794,0.141,0.00315,0.0218
2015/12/24,0.0785,0.136,0.00295,0.029
2015/12/25,0.0746,0.0936,0.00244,0.0345
2015/12/26,0.075,0.0942,0.00252,0.0297
