time,close,high,low,open,time,volumefrom,volumeto
2018-01-09 17:00:00,255.9,258.59,255.13,258.44,2018-01-09 17:00:00,44794.86,11498034.7
2018-01-09 18:00:00,252.87,256.63,252.39,255.9,2018-01-09 18:00:00,38051.04,9689647.81
2018-01-09 19:00:00,251.54,253.39,250.84,252.85,2018-01-09 19:00:00,32429.63,8173893.57
2018-01-09 20:00:00,253.62,254.05,248.97,251.55,2018-01-09 20:00:00,38290.69,9641505.76
2018-01-09 21:00:00,248.27,253.76,247.69,253.61,2018-01-09 21:00:00,29387.88,7387719.41
2018-01-09 22:00:00,245.06,248.31,244.3,248.27,2018-01-09 22:00:00,36434.06,8980164.59
2018-01-09 23:00:00,246.04,247.89,243.15,245.06,2018-01-09 23:00:00,53410.59,13091345.73
2018-01-10 00:00:00,242.18,247.0,239.24,246.02,2018-01-10 00:00:00,53988.87,13080425.47
2018-01-10 01:00:00,243.54,245.85,241.05,242.21,2018-01-10 01:00:00,33084.25,8064000.51
2018-01-10 02:00:00,243.58,245.64,242.18,243.54,2018-01-10 02:00:00,30381.42,7415123.98
2018-01-10 03:00:00,240.2,244.15,239.54,243.58,2018-01-10 03:00:00,36193.42,8773556.28
2018-01-10 04:00:00,242.32,243.84,239.54,240.2,2018-01-10 04:00:00,45236.03,10958609.78
2018-01-10 05:00:00,242.94,245.06,241.05,242.32,2018-01-10 05:00:00,42120.6,10242796.02
2018-01-10 06:00:00,245.33,245.96,242.28,242.94,2018-01-10 06:00:00,28938.09,7076320.66
2018-01-10 07:00:00,241.13,245.69,241.02,245.34,2018-01-10 07:00:00,23952.82,5813027.57
2018-01-10 08:00:00,231.32,241.2,230.78,241.11,2018-01-10 08:00:00,65030.73,15265372.87
2018-01-10 09:00:00,236.69,237.07,230.66,231.31,2018-01-10 09:00:00,50013.88,11706675.61
2018-01-10 10:00:00,236.47,239.07,233.85,236.84,2018-01-10 10:00:00,30041.53,7115005.24
2018-01-10 11:00:00,239.34,240.89,235.46,236.47,2018-01-10 11:00:00,32617.96,7777840.31
2018-01-10 12:00:00,237.95,240.68,237.95,239.34,2018-01-10 12:00:00,21078.17,5051315.12
2018-01-10 13:00:00,236.7,240.19,236.65,237.93,2018-01-10 13:00:00,27122.82,6478442.09
2018-01-10 14:00:00,235.52,237.71,232.02,236.71,2018-01-10 14:00:00,42209.42,9927244.79
2018-01-10 15:00:00,246.64,247.86,235.39,235.52,2018-01-10 15:00:00,57368.28,13920989.49
2018-01-10 16:00:00,246.11,249.06,243.39,246.65,2018-01-10 16:00:00,43847.6,10814309.3
2018-01-10 17:00:00,247.14,247.71,244.36,246.12,2018-01-10 17:00:00,23730.13,5846517.55
2018-01-10 18:00:00,246.81,248.25,245.06,247.15,2018-01-10 18:00:00,27112.06,6704760.57
2018-01-10 19:00:00,244.04,247.03,242.57,246.82,2018-01-10 19:00:00,25175.06,6156241.81
2018-01-10 20:00:00,244.98,245.37,242.97,244.04,2018-01-10 20:00:00,19084.24,4660327.96
2018-01-10 21:00:00,245.78,247.63,244.91,245.0,2018-01-10 21:00:00,25741.58,6334348.03
2018-01-10 22:00:00,242.74,246.01,238.44,245.75,2018-01-10 22:00:00,33984.1,8236667.64
2018-01-10 23:00:00,249.1,249.31,242.44,242.74,2018-01-10 23:00:00,41680.04,10238762.04
2018-01-11 00:00:00,249.11,252.89,248.86,249.11,2018-01-11 00:00:00,58900.22,14797153.49
2018-01-11 01:00:00,245.31,249.12,244.99,249.11,2018-01-11 01:00:00,29017.09,7167718.79
2018-01-11 02:00:00,241.56,246.67,241.08,245.31,2018-01-11 02:00:00,28837.53,7037446.93
2018-01-11 03:00:00,227.67,241.82,224.49,241.56,2018-01-11 03:00:00,129736.73,30309100.8
2018-01-11 04:00:00,229.1,232.73,217.85,227.61,2018-01-11 04:00:00,183234.89,41081537.03
2018-01-11 05:00:00,223.69,233.66,223.05,229.28,2018-01-11 05:00:00,78123.11,17908101.6
2018-01-11 06:00:00,227.13,230.56,223.65,223.67,2018-01-11 06:00:00,45009.38,10251134.69
2018-01-11 07:00:00,231.76,232.76,224.97,227.13,2018-01-11 07:00:00,35827.26,8214195.29
2018-01-11 08:00:00,234.78,237.69,231.71,231.76,2018-01-11 08:00:00,40093.15,9451930.37
2018-01-11 09:00:00,230.02,235.04,228.49,234.78,2018-01-11 09:00:00,26227.23,6095228.01
2018-01-11 10:00:00,226.82,231.51,226.06,230.02,2018-01-11 10:00:00,24108.55,5513024.26
2018-01-11 11:00:00,229.54,230.63,224.77,226.82,2018-01-11 11:00:00,30820.81,6995722.99
2018-01-11 12:00:00,236.6,237.71,229.37,229.54,2018-01-11 12:00:00,41448.86,9738719.14
2018-01-11 13:00:00,233.9,236.98,231.35,236.6,2018-01-11 13:00:00,25705.04,6025304.18
2018-01-11 14:00:00,235.5,235.61,231.61,233.9,2018-01-11 14:00:00,40170.83,9383158.17
2018-01-11 15:00:00,237.46,241.16,235.51,235.51,2018-01-11 15:00:00,45415.36,10842135.64
2018-01-11 16:00:00,236.13,240.46,236.1,237.53,2018-01-11 16:00:00,35262.43,8415095.69
2018-01-11 17:00:00,233.46,236.13,233.09,236.13,2018-01-11 17:00:00,28050.31,6576720.63
2018-01-11 18:00:00,234.31,236.48,233.19,233.46,2018-01-11 18:00:00,20350.06,4787203.56
