date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,NVT (Daily),NVT (Bi-weekly)
5/1/13,108659660.3,52443,1542820000,139,0,3575,36.80599998,null,14.19864553,NaN
5/2/13,96958519,55169,1292190000,116.38,0,3425,54.40791613,null,13.32724564,NaN
5/3/13,84459697.32,55636,1180070000,106.25,0,3650,48.52677208,null,13.97198945,NaN
5/4/13,41545844.53,48595,1089890000,98.1,0,3900,43.41969441,null,26.2334299,NaN
5/5/13,56205929.55,49907,1254760000,112.9,0,3875,38.40895622,null,22.324335,NaN
5/6/13,78921300.62,52523,1289470000,115.98,0,4250,51.88924363,null,16.33868157,NaN
5/7/13,102307623.1,55899,1248470000,112.25,0,4150,43.22493927,null,12.20309848,NaN
5/8/13,76523058.23,47555,1219450000,109.6,0,4125,49.5171688,null,15.93571962,NaN
5/9/13,65430830.1,66750,1259980000,113.2,0,4100,68.83358453,null,19.25667148,NaN
5/10/13,79216458.34,68957,1255970000,112.8,0,4250,61.03773973,null,15.8549123,NaN
5/11/13,71755641.74,71712,1311050000,117.7,0,4475,64.7144603,null,18.27103721,NaN
5/12/13,55128766.46,67439,1288630000,115.64,0,4375,57.98717092,null,23.37491083,NaN
5/13/13,65533931.58,60443,1279980000,114.82,0,4375,58.6645122,null,19.53156127,NaN
5/14/13,79193467.36,65458,1315720000,117.98,0,3850,56.3462306,null,16.61399663,17.67401678
5/15/13,73852227.13,65045,1242760000,111.4,0,3575,48.99999252,null,16.82765772,17.86180336
5/16/13,71605810.52,61462,1274620000,114.22,0,3650,58.40010175,null,17.80051075,18.1813223
5/17/13,77916539.13,60388,1319590000,118.21,0,4050,88.12669735,null,16.93594216,18.39303321
5/18/13,73842241.14,48290,1379140000,123.5,0,3425,37.08573213,null,18.67684375,17.85327706
5/19/13,54051749.66,50416,1376370000,123.21,0,4150,44.69975431,null,25.46393056,18.07753388
5/20/13,53907227.72,49435,1368910000,122.5,0,3375,48.79896181,null,25.39381188,18.7243289
5/21/13,72897395.71,53176,1363940000,122.02,0,3550,45.73742117,null,18.71040778,19.18913671
5/22/13,81312151.27,52952,1374130000,122.89,0,4150,50.66091818,null,16.89944219,19.25797404
5/23/13,75067901.78,55582,1384780000,123.8,0,4075,53.95741269,null,18.44703218,19.20014266
5/24/13,85631206.71,56521,1413300000,126.3,0,4125,43.30824227,null,16.50449707,19.24654157
5/25/13,97944506.67,54128,1489950000,133.1,0,4225,55.02510239,null,15.21218546,19.02805216
5/26/13,47608887.33,40435,1478030000,131.99,0,4100,31.46608906,null,31.045254,19.57593382
5/27/13,63370027.11,52244,1495520000,133.5,0,4500,47.29502624,null,23.59980054,19.86652233
5/28/13,88677940.21,55119,1454310000,129.77,0,3850,54.58621312,null,16.39990731,19.85123024
5/29/13,87817483.31,54862,1446190000,129,0,4275,52.00668912,null,16.46813306,19.82554991
5/30/13,71751533.9,57928,1483180000,132.25,0,4375,47.80279122,null,20.67105634,20.03058888
5/31/13,84137422.57,56274,1445050000,128.8,0,4500,47.48303138,null,17.17487838,20.04765575
6/1/13,57393275.71,52487,1445800000,128.81,0,5050,39.68031578,null,25.1911044,20.51296008
6/2/13,48943212.37,50171,1451930000,129.3,0,5100,49.71934703,null,29.66560488,20.81307968
6/3/13,74752207.05,52867,1376180000,122.5,0,5300,45.44642277,null,18.40989122,20.3142282
