Date,Total Transaction #,Total Transaction Fee (USD),Fee per Transaction (USD),Close Price (USD),Fee %
4/2/18,135129,124208.5057,0.919184674,6919.38,0.0133%
4/1/18,148617,139226.128,0.936811589,6835.84,0.0137%
3/31/18,185940,177326.1523,0.953674047,6943.77,0.0137%
3/30/18,192411,195094.8287,1.013948416,6853.76,0.0148%
3/29/18,177521,191787.3143,1.080364094,7106.62,0.0152%
3/28/18,187065,216676.3396,1.158294387,7959.78,0.0146%
3/27/18,187850,221211.3963,1.177595934,7808.48,0.0151%
3/26/18,135274,174340.6227,1.288796241,8152.2,0.0158%
3/25/18,157087,188536.569,1.200204784,8472.84,0.0142%
3/24/18,179818,228095.8571,1.268481782,8548.06,0.0148%
3/23/18,185187,240939.733,1.301061808,8934.8,0.0146%
3/22/18,194846,277606.5024,1.424748275,8724.98,0.0163%
3/21/18,195168,282002.1662,1.444920101,8911.35,0.0162%
3/20/18,191528,258927.844,1.351905956,8920.71,0.0152%
3/19/18,164401,207005.9514,1.25915263,8623.14,0.0146%
3/18/18,154496,171987.2452,1.113214874,8215.4,0.0136%
3/17/18,186979,252941.5243,1.352780388,7883.45,0.0172%
3/16/18,206186,306293.8018,1.485521819,8283.23,0.0179%
3/15/18,191042,301935.721,1.580467756,8268.41,0.0191%
3/14/18,196140,555473.2206,2.83202417,8217.7,0.0345%
3/13/18,188394,307329.883,1.631314601,9160.12,0.0178%
3/12/18,150884,386652.6681,2.562582302,9142.15,0.0280%
3/11/18,156228,352229.6949,2.254587493,9544.84,0.0236%
3/10/18,198180,316724.4602,1.598165608,8797.27,0.0182%
3/9/18,196422,335966.7984,1.71043365,9252.76,0.0185%
3/8/18,213978,352489.9339,1.647318575,9316.72,0.0177%
3/7/18,206016,400821.8509,1.945586027,9928.56,0.0196%
3/6/18,201438,516365.4041,2.563396202,10735.45,0.0239%
3/5/18,160231,382520.8819,2.387308835,11440.73,0.0209%
3/4/18,177024,430013.9903,2.429128199,11504.42,0.0211%
3/3/18,195073,464496.4666,2.38114176,11465.36,0.0208%
3/2/18,233744,573101.5759,2.451834382,11043.12,0.0222%
3/1/18,189223,531980.0107,2.811391907,10929.37,0.0257%
2/28/18,219624,544068.9516,2.477274576,10334.44,0.0240%
2/27/18,186474,478005.6244,2.563390201,10594.76,0.0242%
2/26/18,144869,401832.6751,2.773765782,10326.5,0.0269%
