Date,Combined,Post Cost
12/10/2015,1,1
12/11/2015,0.997333023,0.992655567
12/12/2015,0.998879134,0.992130167
12/13/2015,0.999467903,0.993800313
12/14/2015,0.992755798,0.985069856
12/15/2015,0.984298651,0.976313438
12/16/2015,0.993320816,0.985692621
12/17/2015,0.992406383,0.984800482
12/18/2015,0.986723373,0.977762584
12/19/2015,0.984771626,0.978226316
12/20/2015,0.984608988,0.977278347
12/21/2015,0.988693966,0.975322261
12/22/2015,0.989380156,0.980198539
12/23/2015,0.989504787,0.976790986
12/24/2015,0.987422028,0.975003404
12/25/2015,0.987961454,0.978266125
12/26/2015,0.986882889,0.977536252
12/27/2015,0.985619705,0.975684843
12/28/2015,0.984767195,0.977592536
12/29/2015,0.985998896,0.977178046
12/30/2015,0.985874422,0.974058634
12/31/2015,0.984538738,0.975583316
1/1/2016,0.985241814,0.975418306
1/2/2016,0.985852205,0.976749281
1/3/2016,0.986823231,0.979098621
1/4/2016,0.988875056,0.979508153
1/5/2016,0.98748294,0.98015216
1/6/2016,0.987064804,0.978351306
1/7/2016,0.991862514,0.980012934
1/8/2016,0.992794247,0.981856559
1/9/2016,0.991488905,0.976593048
1/10/2016,0.992643008,0.975448766
1/11/2016,0.991452236,0.98222766
1/12/2016,0.993173132,0.984815576
1/13/2016,0.992077444,0.98431551
1/14/2016,0.995132464,0.986824296
1/15/2016,0.996137909,0.988666429
1/16/2016,0.99724151,0.990741175
1/17/2016,0.998095551,0.992821222
1/18/2016,1.002166931,0.994728063
1/19/2016,1.008191421,0.999712844
1/20/2016,1.010269348,1.00329698
1/21/2016,1.007705801,1.000017476
1/22/2016,1.008202124,0.998699281
1/23/2016,1.009821231,1.001079933
1/24/2016,1.007160323,0.998923351
1/25/2016,1.007393704,0.999498984
1/26/2016,1.0093611,0.999874843
1/27/2016,1.0147407,1.006491823
1/28/2016,1.01291802,1.005889805
1/29/2016,1.015243321,1.007617693
1/30/2016,1.0153452,1.008320423
1/31/2016,1.017891466,1.010958225
2/1/2016,1.019270512,1.011685941
2/2/2016,1.022483017,1.01358213
2/3/2016,1.025234349,1.01722737
2/4/2016,1.022418916,1.0144784
2/5/2016,1.024147111,1.016089596
2/6/2016,1.026262275,1.016175574
2/7/2016,1.027058752,1.017869896
2/8/2016,1.0282752,1.020602015
2/9/2016,1.031508181,1.023267454
2/10/2016,1.032754311,1.02310621
2/11/2016,1.038301884,1.029534296
2/12/2016,1.04357865,1.036161018
2/13/2016,1.040394892,1.033098818
2/14/2016,1.038558871,1.031333418
2/15/2016,1.038998841,1.031571398
2/16/2016,1.034878275,1.027612421
2/17/2016,1.025659946,1.020406559
2/18/2016,1.031372895,1.024233069
2/19/2016,1.033353252,1.027928906
2/20/2016,1.030093058,1.024044165
2/21/2016,1.033107506,1.027541636
2/22/2016,1.033681675,1.028666512
2/23/2016,1.033696861,1.027072296
2/24/2016,1.035144212,1.030306355
2/25/2016,1.035415413,1.029942722
2/26/2016,1.035283544,1.025060016
2/27/2016,1.036225228,1.028979791
2/28/2016,1.036426314,1.03086471
2/29/2016,1.034089452,1.028920985
3/1/2016,1.037775637,1.03169514
3/2/2016,1.040956509,1.036729648
3/3/2016,1.042244134,1.037072478
3/4/2016,1.046752558,1.040496051
3/5/2016,1.049372458,1.043334298
3/6/2016,1.054995452,1.049170273
3/7/2016,1.061805802,1.056207644
3/8/2016,1.061835256,1.056955102
3/9/2016,1.061446318,1.055757487
3/10/2016,1.061440057,1.055747269
3/11/2016,1.060780604,1.056172876
3/12/2016,1.062932466,1.057773366
3/13/2016,1.062207252,1.057242643
3/14/2016,1.059606462,1.05509062
3/15/2016,1.059404411,1.054269907
3/16/2016,1.057774493,1.052483495
3/17/2016,1.057857906,1.053848516
3/18/2016,1.057329597,1.053302654
3/19/2016,1.058051151,1.054098472
3/20/2016,1.056999926,1.052830777
3/21/2016,1.05873319,1.054746717
3/22/2016,1.057772384,1.054352008
3/23/2016,1.060108842,1.055561528
3/24/2016,1.058292981,1.054378777
3/25/2016,1.057481349,1.053354502
3/26/2016,1.061374264,1.057663953
3/27/2016,1.059686041,1.055665785
3/28/2016,1.062493228,1.058566629
3/29/2016,1.062512326,1.058706073
3/30/2016,1.061930994,1.058614067
3/31/2016,1.061813741,1.058552507
4/1/2016,1.061565931,1.058044541
4/2/2016,1.061290855,1.056775052
4/3/2016,1.060800963,1.056811204
4/4/2016,1.061473489,1.057350459
4/5/2016,1.061086749,1.057079531
4/6/2016,1.060565429,1.056269938
4/7/2016,1.058639951,1.055103329
4/8/2016,1.058372737,1.055019948
4/9/2016,1.05891232,1.055480425
4/10/2016,1.058785441,1.056063369
4/11/2016,1.059440371,1.056824644
4/12/2016,1.060374819,1.057589296
4/13/2016,1.059115415,1.056018129
4/14/2016,1.06341904,1.060415914
4/15/2016,1.06082439,1.058390575
4/16/2016,1.060185712,1.057779224
4/17/2016,1.059868433,1.057347078
4/18/2016,1.061653975,1.059290542
4/19/2016,1.063061687,1.060463273
4/20/2016,1.063361973,1.059430404
4/21/2016,1.060992916,1.057545004
4/22/2016,1.062729572,1.059784999
4/23/2016,1.061430051,1.058709451
4/24/2016,1.058293075,1.054171125
4/25/2016,1.057522796,1.053210346
4/26/2016,1.05607392,1.051445012
4/27/2016,1.057424605,1.053004091
4/28/2016,1.060996678,1.056822396
4/29/2016,1.058532825,1.054310767
4/30/2016,1.050469971,1.045491407
5/1/2016,1.05044277,1.045696957
5/2/2016,1.04451243,1.038483119
5/3/2016,1.047625855,1.042008911
5/4/2016,1.046553271,1.041040899
5/5/2016,1.044945431,1.038982235
