date,BTC.Volume(USD),BTC.marketcap(USD),BTC.price(USD),BTC.NVT(Daily),LTC.Volume(USD),LTC.marketcap(USD),LTC.price(USD),LTC.NVT(Daily),ETH.Volume(USD),ETH.marketcap(USD),ETH.price(USD),ETH.NVT(Daily),XRP.Volume(USD),XRP.marketcap(USD),XRP.price(USD),XRP.NVT(Daily),XLM.Volume(USD),XLM.marketcap(USD),XLM.price(USD),XLM.NVT(Daily),DASH.Volume(USD),DASH.marketcap(USD),DASH.price(USD),DASH.NVT(Daily),XEM.Volume(USD),XEM.marketcap(USD),XEM.price(USD),XEM.NVT(Daily),,Date,BTC,LTC,ETH,DASH,BTC %,LTC %,ETH %,DASH %,Avg %
11/4/15,4522343229,5973510000,403.66,1.320888242,47186776.54,196995000,4.58,4.174792483,813332.0738,75232400,1.01,92.49899571,2491033.072,179109000,0.005402,71.9014942,239566.7588,10627400,0.002197,44.3609124,140428.395,15189300,2.54,108.164022,742.0876737,1555110,0.000173,2095.587968,,11/4/15,0.0989,0.0391,0.00125,0.0265,0.0245%,0.8537%,0.1238%,1.0433%,0.5113%
11/5/15,1424014799,6040410000,408.08,4.241816872,46278193.62,180695000,4.2,3.904538744,310000.0942,67070700,0.900699,216.357031,1833854.862,164276000,0.004955,89.57960816,151486.8231,10558100,0.002183,69.69649096,139145.5779,14240200,2.38,102.3402986,1360.710689,1353420,0.00015,994.6419993,,11/5/15,0.075,0.0341,0.00132,0.0205,0.0184%,0.8119%,0.1466%,0.8613%,0.4595%
11/6/15,1042290562,5745320000,388.05,5.51220572,35702270.54,169811000,3.95,4.75630814,848836.9253,67397100,0.904772,79.39934985,1031006.015,149217000,0.0045,144.7295146,579501.8419,9712060,0.002008,16.75932551,112744.7243,13731000,2.29,121.7884037,950.6728019,1357870,0.000151,1428.325284,,11/6/15,0.0721,0.0165,0.00182,0.0227,0.0186%,0.4177%,0.2012%,0.9913%,0.4072%
11/7/15,783631347.2,5542680000,374.27,7.0730708,18492871.42,152905000,3.55,8.268321158,393479.4127,68833200,0.923732,174.9346923,644479.048,151395000,0.004566,234.9106623,61498.53154,9283660,0.001919,150.9574256,135368.613,13923500,2.32,102.8561917,99.89325793,1276320,0.000142,12776.83826,,11/7/15,0.0654,0.0135,0.00266,0.0264,0.0175%,0.3803%,0.2880%,1.1379%,0.4559%
11/8/15,722740347.8,5692390000,384.28,7.876120404,10203672.81,155912000,3.62,15.27998818,821063.3436,68254300,0.915661,83.12915262,273331.1139,155297000,0.004684,568.1643695,11416.50832,9742530,0.002014,853.3721279,94703.07944,13554600,2.26,143.1273416,1026.814817,1475970,0.000164,1437.425693,,11/8/15,0.0677,0.0164,0.00227,0.0233,0.0176%,0.4530%,0.2479%,1.0310%,0.4374%
11/9/15,1058234617,5546240000,374.32,5.24103059,28583474.47,147907000,3.43,5.17456337,975381.9002,76991800,1.03,78.93503045,308048.5858,154166000,0.00465,500.4600154,766504.6186,9411710,0.001946,12.2787388,376804.8544,14143100,2.36,37.53428289,484.5755659,1278300,0.000142,2637.978656,,11/9/15,0.0695,0.014,0.00151,0.0256,0.0186%,0.4082%,0.1466%,1.0847%,0.4145%
11/10/15,1001307482,5631520000,379.98,5.624166501,30013180.07,146558000,3.4,4.883121337,891132.501,74685300,1,83.80942219,1373039.274,152721000,0.004606,111.228428,65922.48473,9822400,0.002031,148.9992381,121258.6848,13270800,2.21,109.4420579,713.0103048,1337270,0.000149,1875.526891,,11/10/15,0.066,0.0269,0.00185,0.0225,0.0174%,0.7912%,0.1850%,1.0181%,0.5029%
11/11/15,1186976760,5037510000,339.82,4.243983683,25450266.87,134388000,3.12,5.280416142,283710.3599,70236200,0.941296,247.5630429,29798943.04,146142000,0.004408,4.904267907,22605.71886,9878220,0.002042,436.9788044,55803.24733,13370600,2.23,239.6025436,600.936117,1188270,0.000132,1977.364925,,11/11/15,0.0556,0.0217,0.00191,0.0207,0.0164%,0.6955%,0.2029%,0.9283%,0.4608%
11/12/15,879394165.2,4657240000,314.08,5.295964181,14061890.27,128180000,2.97,9.115417455,223759.7949,59448700,0.796455,265.6808835,2995891.556,141432000,0.004266,47.20865137,30483.63733,9495050,0.001963,311.4802179,433673.8404,13216000,2.2,30.47451511,1157.461961,1139010,0.000127,984.0582573,,11/12/15,0.0535,0.0186,0.00231,0.0203,0.0170%,0.6263%,0.2900%,0.9227%,0.4640%
11/13/15,925155228.2,5020700000,338.5,5.426873077,14257572.08,141013000,3.27,9.890393624,423125.5517,67777000,0.907722,160.1817705,1211613.577,150385000,0.004536,124.1196062,1842.555956,10015500,0.00207,5435.655816,115274.3977,12524900,2.08,108.6529208,22.388424,1183480,0.000131,52861.24651,,11/13/15,0.0553,0.0378,0.00163,0.0174,0.0163%,1.1560%,0.1796%,0.8365%,0.5471%
