time,close,high,low,open,time,volumefrom,volumeto
2018-01-09 17:00:00,2.29,2.31,2.27,2.31,2018-01-09 17:00:00,4074820.9,9341233.12
2018-01-09 18:00:00,2.24,2.29,2.22,2.29,2018-01-09 18:00:00,6767892.89,15233478.48
2018-01-09 19:00:00,2.21,2.24,2.18,2.24,2018-01-09 19:00:00,9460011.23,20888519.16
2018-01-09 20:00:00,2.2,2.22,2.19,2.21,2018-01-09 20:00:00,6570554.49,14441844.45
2018-01-09 21:00:00,2.13,2.2,2.11,2.2,2018-01-09 21:00:00,14248899.78,30551743.45
2018-01-09 22:00:00,2.05,2.13,2.03,2.12,2018-01-09 22:00:00,18462480.81,38292383.13
2018-01-09 23:00:00,2.06,2.12,1.92,2.05,2018-01-09 23:00:00,45097592.01,90256244.82
2018-01-10 00:00:00,1.99,2.1,1.96,2.06,2018-01-10 00:00:00,18584834.0,37252857.47
2018-01-10 01:00:00,2.06,2.06,1.97,1.99,2018-01-10 01:00:00,12058564.83,24192889.46
2018-01-10 02:00:00,2.08,2.13,2.05,2.06,2018-01-10 02:00:00,11040325.25,22956337.38
2018-01-10 03:00:00,1.96,2.08,1.95,2.08,2018-01-10 03:00:00,13121766.21,26146246.81
2018-01-10 04:00:00,1.95,1.99,1.93,1.96,2018-01-10 04:00:00,9963870.68,19550589.9
2018-01-10 05:00:00,1.9,1.95,1.84,1.95,2018-01-10 05:00:00,24054640.08,45288855.65
2018-01-10 06:00:00,1.84,1.94,1.8,1.9,2018-01-10 06:00:00,22477544.43,41839641.8
2018-01-10 07:00:00,1.78,1.85,1.73,1.84,2018-01-10 07:00:00,34205161.92,60759991.55
2018-01-10 08:00:00,1.7,1.79,1.63,1.78,2018-01-10 08:00:00,42183613.92,71070735.8
2018-01-10 09:00:00,1.99,2.02,1.69,1.7,2018-01-10 09:00:00,44347489.81,83559006.8
2018-01-10 10:00:00,1.87,2.02,1.87,1.99,2018-01-10 10:00:00,21457795.1,41706061.47
2018-01-10 11:00:00,1.92,1.95,1.84,1.87,2018-01-10 11:00:00,13632446.56,25786103.65
2018-01-10 12:00:00,1.81,1.93,1.8,1.92,2018-01-10 12:00:00,11143614.06,20856914.18
2018-01-10 13:00:00,1.88,1.94,1.81,1.81,2018-01-10 13:00:00,11913978.51,22382202.24
2018-01-10 14:00:00,1.84,1.88,1.79,1.88,2018-01-10 14:00:00,12013078.31,22024199.41
2018-01-10 15:00:00,1.99,2.02,1.83,1.84,2018-01-10 15:00:00,19561342.32,37585177.24
2018-01-10 16:00:00,1.97,2.07,1.96,1.99,2018-01-10 16:00:00,23527795.06,47287553.24
2018-01-10 17:00:00,1.97,2.0,1.94,1.97,2018-01-10 17:00:00,10518515.02,20677749.0
2018-01-10 18:00:00,1.96,1.99,1.94,1.97,2018-01-10 18:00:00,7253737.71,14298780.37
2018-01-10 19:00:00,1.95,1.97,1.93,1.96,2018-01-10 19:00:00,4776021.38,9325424.86
2018-01-10 20:00:00,1.97,1.97,1.93,1.95,2018-01-10 20:00:00,5626399.35,10952769.61
2018-01-10 21:00:00,1.99,2.02,1.97,1.97,2018-01-10 21:00:00,12140250.34,24125990.23
2018-01-10 22:00:00,1.91,1.99,1.89,1.99,2018-01-10 22:00:00,8830129.28,17071681.91
2018-01-10 23:00:00,1.95,1.96,1.9,1.91,2018-01-10 23:00:00,7618258.52,14699242.76
2018-01-11 00:00:00,1.9,1.97,1.89,1.95,2018-01-11 00:00:00,5582361.5,10748915.36
2018-01-11 01:00:00,1.93,1.93,1.87,1.9,2018-01-11 01:00:00,6062732.73,11400489.79
2018-01-11 02:00:00,1.87,1.93,1.87,1.93,2018-01-11 02:00:00,5292907.17,10018850.68
2018-01-11 03:00:00,1.7,1.87,1.65,1.87,2018-01-11 03:00:00,25494943.39,44359972.09
2018-01-11 04:00:00,1.69,1.74,1.56,1.7,2018-01-11 04:00:00,49091438.95,79237514.45
2018-01-11 05:00:00,1.58,1.71,1.58,1.68,2018-01-11 05:00:00,23957766.65,39204663.16
2018-01-11 06:00:00,1.64,1.69,1.58,1.58,2018-01-11 06:00:00,15860910.34,25930782.46
2018-01-11 07:00:00,1.74,1.75,1.63,1.64,2018-01-11 07:00:00,16939492.18,28813978.37
2018-01-11 08:00:00,1.83,1.89,1.74,1.74,2018-01-11 08:00:00,23235702.84,42762332.92
2018-01-11 09:00:00,1.76,1.84,1.75,1.83,2018-01-11 09:00:00,9508939.09,17025528.33
2018-01-11 10:00:00,1.69,1.78,1.68,1.76,2018-01-11 10:00:00,9529827.63,16533361.59
2018-01-11 11:00:00,1.69,1.72,1.62,1.69,2018-01-11 11:00:00,16635623.39,28013155.69
2018-01-11 12:00:00,1.75,1.77,1.69,1.69,2018-01-11 12:00:00,9558803.59,16684844.07
2018-01-11 13:00:00,1.7,1.76,1.69,1.75,2018-01-11 13:00:00,9005288.13,15434582.18
2018-01-11 14:00:00,2.1,2.24,1.69,1.7,2018-01-11 14:00:00,86273860.21,174145797.31
2018-01-11 15:00:00,2.18,2.24,2.05,2.08,2018-01-11 15:00:00,69402063.57,149165327.31
2018-01-11 16:00:00,2.06,2.19,2.05,2.18,2018-01-11 16:00:00,26314292.52,55766515.81
2018-01-11 17:00:00,1.99,2.07,1.98,2.06,2018-01-11 17:00:00,25669312.46,51992326.34
2018-01-11 18:00:00,2.03,2.09,1.93,1.99,2018-01-11 18:00:00,19748482.56,39629128.21
2018-01-11 19:00:00,2.05,2.14,2.03,2.03,2018-01-11 19:00:00,19631210.18,40890367.52
2018-01-11 20:00:00,2.01,2.08,1.97,2.05,2018-01-11 20:00:00,11383171.14,23003222.64
2018-01-11 21:00:00,1.97,2.02,1.9,2.01,2018-01-11 21:00:00,15859163.52,30906502.26
2018-01-11 22:00:00,1.86,1.99,1.81,1.97,2018-01-11 22:00:00,17420559.68,32643026.9
2018-01-11 23:00:00,1.93,1.94,1.81,1.86,2018-01-11 23:00:00,18567923.94,34636782.93
2018-01-12 00:00:00,1.87,1.94,1.81,1.93,2018-01-12 00:00:00,13703457.45,25331106.75
2018-01-12 01:00:00,1.97,1.99,1.85,1.87,2018-01-12 01:00:00,12824396.07,24644930.91
2018-01-12 02:00:00,1.96,2.0,1.93,1.97,2018-01-12 02:00:00,7440204.16,14607460.17
